level1,level2,level3,movie file name
Bhangi,Bhangi Overview,,exu_001_introBhangi.mp4
,Sama Bhanga,,exu_101_samabhanga.mp4
,Ardha Bhanga/Abhangi,,exu_102_ardhabhanga.mp4
,Chauka,,exu_103_chaukabhanga.mp4
,Tribhangi,,exu_104_tribhangi.mp4
,Atibhanga,,exu_105_atibhanga.mp4
Shilpa Bhangima,Shilpa Bhangima Overview,,exu_200_intoshilpa.mp4
,Instrument,Mardala,exu_201_marda.mp4
,,Beena,exu_202_beena.mp4
,,Manjeera,exu_203_manj.mp4
,,Bansi,exu_204_bans.mp4
,Nayika,Alasa,exu_205_alas.mp4
,,Darpana,exu_206_darp.mp4
,,Salabhanjika,exu_207_sala.mp4
,,Abhiman,exu_208_abhi.mp4
,Devi-devata,Rama,exu_209_rama.mp4
,,Ravana,exu_210_rava.mp4
,,Surya,exu_211_sury.mp4
,,Vishnu,exu_212_vish.mp4
,,Shiva,exu_213_shiv.mp4
,,Durga,exu_214_durg.mp4
Padabheda,Padabheda Overview,,exu_300_intropadabheda.mp4
,Sama,Sama Overview,exu_301_0_oversama.mp4
,,Adi,exu_301_adi.mp4
,,Rekha,exu_302_rekha.mp4
,,Sama,exu_303_sama.mp4
,,Viparitha/dwimukha,exu_304_viparith.mp4
,Chauka,Chauka Overview,exu_305_0_overchauk.mp4
,,Ardhaswastika,exu_305_arswastika.mp4
,,Swastika,exu_306_swastika.mp4
,,Kumbha,exu_307_kumbha.mp4
,,Ardha-chauka,exu_308_archauka.mp4
,,Chauka,exu_309_chaukapada.mp4
,,Mandala,exu_310_mandala.mp4
,Tribhangi,Tribhangi Overview,exu_311_0_overtri.mp4
,,Trasya,exu_311_trasya.mp4
,,Dhanu,exu_312_dhanu.mp4
,,Prusthadhanu,exu_313_prushtha.mp4
,,Suchi,exu_314_suchi.mp4
,,Kunchita,exu_315_kunchita.mp4
,,Vilagna parshani,exu_316_vilagna.mp4
,Ardha Bhanga,Ardha Bhanga Overview,exu_317_0_overardh.mp4
,,Anukunchita,exu_317_anukun.mp4
,,Gharshita,exu_318_gharsita.mp4
,,Utparshani,exu_319_utparshini.mp4
,Others,Others Overview,exu_320_0_overview.mp4
,,Ashrita,exu_320_ashrita.mp4
,,Meenapuchha,exu_321_meena.mp4
,,Lolita,exu_322_lalita.mp4
,,Uttolita,exu_323_uttalita.mp4
,,Ullolita,exu_324_ullolita.mp4
,,Januashrita,exu_325_januash.mp4
,,Nupura,exu_326_nupura.mp4
,,Alidha,exu_327_alidha.mp4
,,Pratyalidha,exu_328_pratya.mp4
,,Bandhani,exu_329_bandha.mp4
,,Ekapada,exu_330_ekapada.mp4
,,Janghashrita,exu_331_jangha.mp4
,,Mahapada,exu_332_mahapada.mp4
,,Prushta Mahapada,exu_333_prushta.mp4
Bakshyachalana,Bakshyachalana Overview,,exu_500_introbaks.mp4
,Bamachala - Dakshyachala,,exu_501_bamdaksh.mp4
,Agrachala - Prushthachala,,exu_502_agraprush.mp4
,Prachala,,exu_503_prachala.mp4
Basic steps,Basic steps Overview,,exu_600_introcharisb.mp4
,Sama-Ardha,,exu_601_samardh.mp4
,Chauka,,exu_602_chaukk.mp4
,Tribhangi,,exu_603_tribh.mp4
Bhramari,Bhramari Overview,,exu_800_01_introbhrasb.mp4
,Ardha,,exu_801_ardha.mp4
,Veshtita,,exu_802_vesh.mp4
,Ekapada,,exu_803_ekchauk.mp4
,Chakra,,exu_805_chakra.mp4
,Kunchita,,exu_808_kunch.mp4
,Viparita,,exu_810_vipchau.mp4
,Utpluta,,exu_812_utpl.mp4
,Garuda,,exu_814_garud.mp4
,Balaita,,exu_816_balai.mp4
,Akash,,exu_819_akash.mp4
,Prithvi,,exu_820_prithvi.mp4
,Anga,,exu_821_anga.mp4
,Bakshya,,exu_822_baksha.mp4
Gati,Gati Overview,,exu_900_introgati.mp4
,Hamsi,,exu_901_hams.mp4
,Mayuri,,exu_902_mayuri.mp4
,Mrugi,,exu_903_mrugi.mp4
,Gajalila,,exu_904_gaja.mp4
,Turangini,,exu_905_turan.mp4
,Singhi/simhi,,exu_906_simhi.mp4
,Bhujangi,,exu_907_bhuj.mp4
,Manduki,,exu_908_mand.mp4
,Manavi,,exu_910_mana.mp4
Movement Transformation,Movement Transformation Overview,,exu_1000_intromt.mp4
,Karma,,exu_1001_kar.mp4
,Danda,,exu_1002_dand.mp4
,Paika,,exu_1003_paik.mp4
,Chhau,,exu_1004_chhau.mp4
,Sambalpuri,,exu_1005_sambal.mp4
,Mahari,,exu_1006_mahari.mp4
,Gotipua,,exu_1007_gotipua.mp4