level1,level2,level3,front,side
Bhangi,Sama Bhanga,,ut_101_sama_f.mp4,ut_101_sama_s.mp4
,Ardha Bhanga/Abhangi,,ut_102_ardha_f.mp4,ut_102_ardha_s.mp4
,Chauka,,ut_103_chauka_f.mp4,ut_103_chauka_s.mp4
,Tribhangi,,ut_104_tribhangi_f.mp4,ut_104_tribhangi_s.mp4
,Atibhanga,,ut_105_atibhanga_f.mp4,ut_105_atibhanga_s.mp4
Shilpa Bhangima,Instrument,Mardala,ut_201_mardala_f.mp4,ut_201_mardala_s.mp4
,,Beena,ut_202_beena_f.mp4,ut_202_beena_s.mp4
,,Manjeera,ut_203_manj_f.mp4,ut_203_manj_s.mp4
,,Bansi,ut_204_bans_f.mp4,ut_204_bans_s.mp4
,Nayika,Alasa,ut_205_alas_f.mp4,ut_205_alas_s.mp4
,,Darpana,ut_206_darp_f.mp4,ut_206_darp_s.mp4
,,Salbhanjika,ut_207_sal_f.mp4,ut_207_sal_s.mp4
,,Abhiman,ut_208_abh_f.mp4,ut_208_abh_s.mp4
,Devi-devata,Rama,ut_209_ram_f.mp4,ut_209_ram_s.mp4
,,Ravana,ut_210_rav_f.mp4,ut_210_rav_s.mp4
,,Surya,ut_211_sur_f.mp4,ut_211_sur_s.mp4
,,Vishnu,ut_212_vish_f.mp4,ut_212_vish_s.mp4
,,Shiva,ut_213_shiv_f.mp4,ut_213_shiv_s.mp4
,,Durga,ut_214_dur_f.mp4,ut_214_dur_s.mp4
Padabheda,Sama,Adi,ut_301_adi_f.mp4,ut_301_adi_s.mp4
,,Rekha,ut_302_rekha_f.mp4,ut_302_rekha_s.mp4
,,Sama,ut_303_samapada_f.mp4,ut_303_samapada_s.mp4
,,Viparitha/dwimukha,ut_304_viparit_f.mp4,ut_304_viparit_s.mp4
,Chauka,Ardhaswastika,ut_305_arswastik_f.mp4,ut_305_arswastik_s.mp4
,,Swastika,ut_306_swastik_f.mp4,ut_306_swastik_s.mp4
,,Kumbha,ut_307_kumbha_f.mp4,ut_307_kumbha_s.mp4
,,Ardha-chauka,ut_308_archauk_f.mp4,ut_308_archauk_s.mp4
,,Chauka,ut_309_chaukapada_f.mp4,ut_309_chaukapada_s.mp4
,,Mandala,ut_310_mandala_f.mp4,ut_310_mandala_s.mp4
,Tribhangi,Trasya,ut_311_trasya_f.mp4,ut_311_trasya_s.mp4
,,Dhanu,ut_312_dhanu_f.mp4,ut_312_dhanu_s.mp4
,,Prusthadhanu,ut_313_prustha_f.mp4,ut_313_prustha_s.mp4
,,Suchi,ut_314_suchi_f.mp4,ut_314_suchi_s.mp4
,,Kunchita,ut_315_kunchi_f.mp4,ut_315_kunchi_s.mp4
,,Vilagna Parshani,ut_316_vilag_f.mp4,ut_316_vilag_s.mp4
,Ardha Bhanga,Anukunchita,ut_317_anukun_f.mp4,ut_317_anukun_s.mp4
,,Gharshita,ut_318_ghars_f.mp4,ut_318_ghars_s.mp4
,,Utparshani,ut_319_utpar_f.mp4,ut_319_utpar_s.mp4
,Others,Ashrita,ut_320_ashri_f.mp4,ut_320_ashri_s.mp4
,,Meenapuchha,ut_321_meena_f.mp4,ut_321_meena_s.mp4
,,Lolita,ut_322_lalita_f.mp4,ut_322_lalita_s.mp4
,,Uttolita,ut_323_utta_f.mp4,ut_323_utta_s.mp4
,,Ullolita,ut_324_ullo_f.mp4,ut_324_ullo_s.mp4
,,Januashrita,ut_325_januas_f.mp4,ut_325_januas_s.mp4
,,Nupura,ut_326_nupura_f.mp4,ut_326_nupura_s.mp4
,,Alidha,ut_327_alidh_f.mp4,ut_327_alidh_s.mp4
,,Pratyalidha,ut_328_pratya_f.mp4,ut_328_pratya_s.mp4
,,Bandhani,ut_329_bandh_f.mp4,ut_329_bandh_s.mp4
,,Ekapada,ut_330_ekapada_f.mp4,ut_330_ekapada_s.mp4
,,Janghashrita,ut_331_jangh_f.mp4,ut_331_jangh_s.mp4
,,Mahapada,ut_332_mahap_f.mp4,ut_332_mahap_s.mp4
,,Prushta Mahapada,ut_333_prushtham_f.mp4,ut_333_prushtham_s.mp4
Bakshyachalana,Bamachala - Dakshyachala,,ut_501_bamdaksh_f.mp4,ut_501_bamdaksh_s.mp4
,Agrachala - Prushthachala,,ut_502_agraprushth_f.mp4,ut_502_agraprushth_s.mp4
,Prachala,,ut_503_prachala_f.mp4,ut_503_prachala_s.mp4
Basic steps,Sama-Ardha,1,ut_601_sam1_f.mp4,ut_601_sam1_s.mp4
,,2,ut_602_sam2_f.mp4,ut_602_sam2_s.mp4
,,3,ut_603_sam3_f.mp4,ut_603_sam3_s.mp4
,,4,ut_604_sam4_f.mp4,ut_604_sam4_s.mp4
,,5,ut_605_sam5_f.mp4,ut_605_sam5_s.mp4
,,6,ut_606_sam6_f.mp4,ut_606_sam6_s.mp4
,,7,ut_607_sam7_f.mp4,ut_607_sam7_s.mp4
,,8,ut_608_sam8_f.mp4,ut_608_sam8_s.mp4
,,9,ut_609_sam9_f.mp4,ut_609_sam9_s.mp4
,,10,ut_610_sam10_f.mp4,ut_610_sam10_s.mp4
,Chauka,1,ut_611_chauk1_f.mp4,ut_611_chauk1_s.mp4
,,2,ut_612_chauk2_f.mp4,ut_612_chauk2_s.mp4
,,3,ut_613_chauk3_f.mp4,ut_613_chauk3_s.mp4
,,4,ut_614_chauk4_f.mp4,ut_614_chauk4_s.mp4
,,5,ut_615_chauk5_f.mp4,ut_615_chauk5_s.mp4
,,6,ut_616_chauk6_f.mp4,ut_616_chauk6_s.mp4
,,7,ut_617_chauk7_f.mp4,ut_617_chauk7_s.mp4
,,8,ut_618_chauk8_f.mp4,ut_618_chauk8_s.mp4
,,9,ut_619_chauk9_f.mp4,ut_619_chauk9_s.mp4
,,10,ut_620_chauk10_f.mp4,ut_620_chauk10_s.mp4
,Tribhangi,1,ut_621_tri1_f.mp4,ut_621_tri1_s.mp4
,,2,ut_622_tri2_f.mp4,ut_622_tri2_s.mp4
,,3,ut_623_tri3_f.mp4,ut_623_tri3_s.mp4
,,4,ut_624_tri4_f.mp4,ut_624_tri4_s.mp4
,,5,ut_625_tri5_f.mp4,ut_625_tri5_s.mp4
,,6,ut_626_tri16_f.mp4,ut_626_tri6_s.mp4
,,7,ut_627_tri7_f.mp4,ut_627_tri7_s.mp4
,,8,ut_628_tri8_f.mp4,ut_628_tri8_s.mp4
,,9,ut_629_tri9_f.mp4,ut_629_tri9_s.mp4
,,10,ut_630_tri10_f.mp4,ut_630_tri10_s.mp4
Bhramari,Ardha,,ut_801_ardhabh_f.mp4,ut_801_ardhabh_s.mp4
,Veshtita,,ut_802_vesht_f.mp4,ut_802_vesht_s.mp4
,Ekapada,Chauka,ut_803_ekchauk_f.mp4,ut_803_ekchauk_s.mp4
,,Ullolita,ut_804_ull_f.mp4,ut_804_ull_s.mp4
,Chakra,Chauka,ut_805_chakrachauk_f.mp4,ut_805_chakrachauk_s.mp4
,,Uthparshini,ut_806_chakraut_f.mp4,ut_806_chakraut_s.mp4
,,Parshachira,ut_807_parshach_f.mp4,ut_807_parshach_s.mp4
,Kunchita,Prushtadhanu,ut_808_kunprush_f.mp4,ut_808_kunprush_s.mp4
,,Trasya,ut_809_kuntras_f.mp4,ut_809_kuntras_s.mp4
,Viparita,Chauka,ut_810_vipchauk_f.mp4,ut_810_vipchauk_s.mp4
,,Tribhangi,ut_811_viptri_f.mp4,ut_811_viptri_s.mp4
,Utpluta,Chauka,ut_812_utpchauk_f.mp4,ut_812_utpchauk_s.mp4
,,Purna,ut_813_utpur_f.mp4,ut_813_utpur_s.mp4
,Garuda,Thiya,ut_814_garudthi_f.mp4,ut_814_garudthi_s.mp4
,,Bosa,ut_815_garudbos_f.mp4,ut_815_garudbos_s.mp4
,Balaita,Chhanda,ut_816_balachh_f.mp4,ut_816_balachh_s.mp4
,,Viparita,ut_817_balavip_f.mp4,ut_817_balavip_s.mp4
,,Chhapka,ut_818_balachap_f.mp4,ut_818_balachap_s.mp4
,Akash,,ut_819_kash_f.mp4,ut_819_akash_s.mp4
,Prithvi,,ut_820_prith_f.mp4,ut_820_prith_s.mp4
,Anga,,ut_821_anga_f.mp4,ut_821_anga_s.mp4
,Bakshya,,ut_822_baksha_f.mp4,ut_822_baksha_s.mp4
Gati,Hamsi,,ut_901_hams_f.mp4,ut_901_hams_s.mp4
,Mayuri,,ut_902_mayu_f.mp4,ut_902_mayu_s.mp4
,Mrugi,,ut_903_mru_f.mp4,ut_903_mru_s.mp4
,Gajalila,,ut_904_gaja_f.mp4,ut_904_gaja_s.mp4
,Turangini,,ut_905_turan_f.mp4,ut_905_turan_s.mp4
,Singhi/simhi,,ut_906_simhi_f.mp4,ut_906_simhi_s.mp4
,Bhujangi,,ut_907_bhuj_f.mp4,ut_907_bhuj_s.mp4
,Manduki,,ut_908_mand_f.mp4,ut_908_mand_s.mp4
,Manavi,,ut_910_manav_f.mp4,ut_910_manav_s.mp4
Movement Transformation,Karma,Original 1,ut_1001_01_karor_f.mp4,ut_1001_01_karor_s.mp4
,,Transformed 1,ut_1002_01_kartrans_f.mp4,ut_1002_01_kartrans_s.mp4
,,Original 2,ut_1001_02_karor_f.mp4,ut_1001_02_karor_s.mp4
,,Transformed 2,ut_1002_02_kartrans_f.mp4,ut_1002_02_kartrans_s.mp4
,Danda,Original 1,ut_1003_01_danor_f.mp4,ut_1003_01_danor_s.mp4
,,Transformed 1,ut_1004_01_dantrans_f.mp4,ut_1004_01_dantrans_s.mp4
,,Original 2,ut_1003_02_danor_f.mp4,ut_1003_02_danor_s.mp4
,,Transformed 2A,ut_1004_02_dantrans1_f.mp4,ut_1004_02_dantrans1_s.mp4
,,Transformed 2B,ut_1004_02_dantrans2_f.mp4,ut_1004_02_dantrans2_s.mp4
,Paika,Original 1,ut_1005_01_paikor_f.mp4,ut_1005_01_paikor_s.mp4
,,Transformed 1,ut_1006_01_paiktrans_f.mp4,ut_1006_01_paiktrans_s.mp4
,,Original 2,ut_1005_02_paikor_f.mp4,ut_1005_02_paikor_s.mp4
,,Transformed 2,ut_1006_02_paiktrans_f.mp4,ut_1006_02_paiktrans_s.mp4
,Chhau,Original 1,ut_1007_01_chhauor_f.mp4,ut_1007_01_chhauor_s.mp4
,,Transformed 1,ut_1008_01_chhtrans_f.mp4,ut_1008_01_chhtrans_s.mp4
,,Original 2,ut_1007_02_chhauor_f.mp4,ut_1007_02_chhauor_s.mp4
,,Transformed 2,ut_1008_02_chhtrans_f.mp4,ut_1008_02_chhtrans_s.mp4
,Sambalpuri,Original & Transformed 1,ut_1009_sambor_f.mp4,ut_1009_sambor_s.mp4
,,Original & Transformed 2,ut_1010_sambor_f.mp4,ut_1010_sambor_s.mp4
,,Original & Transformed 3,ut_1011_sambor_f.mp4,ut_1011_sambor_s.mp4
,Mahari,Original,ut_1012_mahaor_f.mp4,
,,Transformed,ut_1013_mahatrans_f.mp4,ut_1013_mahatrans_s.mp4
,Gotipua,Original,ut_1014_gotior_f.mp4,ut_1014_gotior_s.mp4
,,Transformed,ut_1015_gotitrans_f.mp4,ut_1015_gotitrans_s.mp4